DATAFLOW,FREQ: Frequency of observation,REF_AREA: Reference area,TRANSACTION: Transaction,ACTIVITY: Economic activity,PRODUCT: Product,UNIT_MEASURE: Unit of measure,VALUATION: Valuation,PRICE_BASE: Price base,TABLE_IDENTIFIER: Table identifier,TIME_PERIOD: Time period,OBS_VALUE,COUNTERPART_AREA: Counterpart area,SECTOR: Institutional sector,ACCOUNTING_ENTRY: Accounting entry,CONF_STATUS: Confidentiality status,DECIMALS: Decimals,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,CURRENCY: Currency
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,EST: Estonia,"B1G: Value added, gross",L: Real estate activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2010,1309.204,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,EST: Estonia,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2010,763.947,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,EST: Estonia,"B1G: Value added, gross",L68B: Real estate activities excluding imputed rents,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2010,545.257,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,EST: Estonia,"B1G: Value added, gross",_T: Total - all activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2010,12571.526,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,PRT: Portugal,"B1G: Value added, gross",_T: Total - all activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,200315.626,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,PRT: Portugal,"B1G: Value added, gross",L68B: Real estate activities excluding imputed rents,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,10706.616,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,PRT: Portugal,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,14224.112,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,PRT: Portugal,"B1G: Value added, gross",L: Real estate activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,24930.728,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVN: Slovenia,"B1G: Value added, gross",L68B: Real estate activities excluding imputed rents,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,720.57,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVN: Slovenia,"B1G: Value added, gross",_T: Total - all activities,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2022,46765.752,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
